time,IR,correctedPPM,correctedRZero,ppm,resistance,rzero,humidity,temperature
2024-01-15-17-50-36,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-50-41,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-50-41,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-50-42,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-50-50,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-50-52,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-50-52,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-51-47,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-17-51-48,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-18-03-05,1,29461.95,16.45,39623.91,9.3,14.66,72,29
2024-01-15-18-13-57,1,29461.95,16.45,39623.91,9.3,14.66,72,29
